,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6039775.582323216,-1504918.7526579767,357971.7974916448,442837.1589099873,2327691.5618482567,32215.23732838012,-12666.953111341172,-732790.8330918378,-88601.02677611657,-95232.33942110867,-27127.943163525535,-22176.886904683684,-7639.21332120784,-3594.203584909079,-663.2193985345748,-1984.5880893108624,-12677.66487945987,9031.015591877986,4679.707636312447,15668.058585439025
Omegab,-1504918.7526579767,2445719.2722543045,-469232.0219347759,-427097.8433587902,-622513.0794192774,25574.441124080648,21492.312340495148,-61663.87726542562,-64727.28891118382,-45562.81948912649,-26923.438805697675,-14277.253447136927,-3439.496126619496,8414.53956371982,30733.31959171365,37927.15219166396,75205.98164924623,642.507485830709,-468.05725748833396,812.8760582407042
h,357971.7974916448,-469232.0219347759,102866.85455822377,115008.88585078024,48953.049510443314,-8478.259195172714,-4368.921032954326,8774.867473576645,6949.9475561695635,3044.1652094969468,-257.5454768006234,-2636.667132427454,-4720.576545243124,-7998.44962976201,-12097.127386666218,-15848.365818211227,-21686.893966357984,-195.45926104804525,150.71083888129067,-243.69386619894618
ns,442837.1589099873,-427097.8433587902,115008.88585078024,212633.73232578015,-483212.81901447836,-26289.04654188988,-4169.255317950627,-12663.117157289475,-30855.857370136047,-35275.48744699225,-35315.89284700389,-35187.73081476854,-36479.41433841773,-39521.74050622279,-44522.97037012407,-49328.13672944726,-47504.45580872439,-373.0660157104067,337.4774138209696,-444.7629089468926
sigma8,2327691.5618482567,-622513.0794192774,48953.049510443314,-483212.81901447836,7551653.5092887925,227023.86130551153,-2611.114251657847,572389.4805741948,466606.8059299759,353320.9205695612,285252.30645762995,252387.42259937833,237262.93694852613,234773.60944679397,245139.62066909572,255608.0038195814,223818.2220665285,-896.6574185662655,2187.162908142122,-549.900645330604
mnu,32215.23732838012,25574.441124080648,-8478.259195172714,-26289.04654188988,227023.86130551153,8109.918924500263,335.2873226527847,17114.43859942834,14449.853084858658,10810.320075850801,8729.785682457852,7814.710998377492,7509.593953305415,7646.416561191667,8333.124187059118,9193.861709332958,8936.964001409468,-4.677362094606545,48.86063867518587,11.2788929412409
Neff,-12666.953111341172,21492.312340495148,-4368.921032954326,-4169.255317950627,-2611.114251657847,335.2873226527847,207.6465342840525,-324.7841069965598,-407.3626497422935,-284.24365772089965,-147.71498616691062,-37.862456940277255,43.38197649483292,181.17186796824143,362.2628372130056,461.59724681942714,798.6463799758991,5.758526482204151,-3.1288931695939066,7.689416774768026
b1,-732790.8330918378,-61663.87726542562,8774.867473576645,-12663.117157289475,572389.4805741948,17114.43859942834,-324.7841069965598,606032.3455873346,-21697.747150224306,12609.284503634153,-140.25147566125963,98.39162275182774,11.339912879537128,5.211825729303721,2.9518916483255397,0.4405032810093872,1.0446756513323974,30.06867635810568,-72.75105061702666,21.587192883307395
b2,-88601.02677611657,-64727.28891118382,6949.9475561695635,-30855.857370136047,466606.8059299759,14449.853084858658,-407.3626497422935,-21697.747150224306,425851.7379063091,-143436.07439933153,34215.18865810686,-2216.010730480308,143.67349456427323,5.043982230888021,0.208023525105125,0.20368314924518843,0.18267922076127732,-121.65369454271851,276.861371915679,-90.3470792051692
b3,-95232.33942110867,-45562.81948912649,3044.1652094969468,-35275.48744699225,353320.9205695612,10810.320075850801,-284.24365772089965,12609.284503634153,-143436.07439933153,591950.8115293877,-275768.15176571073,66075.49365400895,-4242.680436870962,198.51064107665607,7.213347794410082,0.19022590567085385,0.18240824359104363,92.01206867862645,-113.66016907443893,90.22821980355992
