,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,21094318.100082543,-14579871.5965649,3581925.929047762,5376591.93360842,24960578.837390233,992847.9030209391,-125673.96709815765,2404435.376460593,611785.9807940782,-966611.5081242846,265973.83265686454,566296.3973808417,732864.7395596844,814624.0664335042,900127.3391811565,824040.3269344578,941558.5236824136,853946.5942402661,534536.4172781729,16828.499086793418,9568.369355179788,29516.74735361498
Omegab,-14579871.5965649,22490840.641742155,-5336087.762049985,-8044477.276134997,-37989159.24201661,-2121171.499951638,193452.41951648693,-6665675.879876946,-1415799.8830250907,-2524935.743764544,-1928696.3976378273,-1589213.5919887535,-1557950.9718732592,-1477060.2224535746,-1489737.8050469246,-1284555.437436974,-1402602.8465903257,-1218571.334506342,-716698.554020249,200.5935112327545,-2044.6184762244084,-469.72203198701186
h,3581925.929047762,-5336087.762049985,1281439.3551637668,1949824.0408128158,9063703.101741083,502249.78645791597,-46070.99518099884,1569519.0436395907,333944.58967163024,603482.6001284757,449705.86189924227,369682.2497442394,363392.8642471731,346208.8754220918,350852.7563987893,303818.591003552,332518.3414639496,288344.2669733013,167175.5932058475,-94.63281538600106,551.8377803604802,64.35433220278708
ns,5376591.93360842,-8044477.276134997,1949824.0408128158,3050735.8533341135,14184709.766238382,787145.7143768801,-69427.35136513616,2431584.124673199,509847.04962445516,1137903.972122528,785636.5992483216,608802.0953823738,571173.2238523415,523062.35766794905,512548.8134918908,431998.68511903135,461437.23671181296,389741.1714310576,219586.84485564596,-300.6911979027939,953.2128919052064,-99.44044608187338
sigma8,24960578.837390233,-37989159.24201661,9063703.101741083,14184709.766238382,79083962.72693145,4539347.455016851,-327600.659718752,13792375.525270848,2847036.001113129,5957922.460464954,5042952.781647017,3976794.704699347,3632494.395637414,3173904.9728436274,2949548.5199040463,2362779.895580096,2418272.9259425183,2002909.5170952594,1217968.9268876128,349.682981388144,3126.9367293505584,1734.7388120412265
mnu,992847.9030209391,-2121171.499951638,502249.78645791597,787145.7143768801,4539347.455016851,278551.590435513,-18292.354500576694,878129.7124179589,180253.05391077773,392875.8226763619,313877.5572956602,243308.62946704667,220872.44250899475,192229.50048377912,178874.81028517126,144026.45692518592,149070.68586741434,126486.73859833104,81491.45891170912,53.277903824074556,-40.982250447694156,67.48386091693557
Neff,-125673.96709815765,193452.41951648693,-46070.99518099884,-69427.35136513616,-327600.659718752,-18292.354500576694,1673.271145173313,-57483.570744708544,-12208.510869564047,-21715.636838763614,-16619.335153723,-13706.981630474289,-13443.186300484236,-12747.990798933934,-12857.36831289958,-11084.02281834875,-12096.360020819415,-10498.106233374125,-6157.398392982912,2.7122964230494766,-17.352102701154948,-2.4333383326630793
w0,2404435.376460593,-6665675.879876946,1569519.0436395907,2431584.124673199,13792375.525270848,878129.7124179589,-57483.570744708544,2870850.068823292,593989.4703525824,1141410.6084084027,954065.4026587255,766133.7551150091,713783.812590741,634108.5340793119,599374.0754138061,487249.0257567036,505669.55805175327,425261.0781880771,263768.2950579665,1322.9379072986105,-458.70693076989744,1868.766907398682
wa,611785.9807940782,-1415799.8830250907,333944.58967163024,509847.04962445516,2847036.001113129,180253.05391077773,-12208.510869564047,593989.4703525824,126595.64936265413,176075.67183153896,163386.8799248237,142452.1478373138,141393.96151931994,132864.88136924343,132106.80548201734,112376.51785494236,121901.73680971429,107602.55454365932,70538.01705471783,474.48638151150163,-32.97140042604618,719.3383871218209
b1,-966611.5081242846,-2524935.743764544,603482.6001284757,1137903.972122528,5957922.460464954,392875.8226763619,-21715.636838763614,1141410.6084084027,176075.67183153896,3566152.253542504,359453.9285383168,7611.628312836277,2909.978687638916,511.75933113747476,148.87264623773723,63.61567981882975,30.13084195750937,2.862472438893673,4.579982704946913,83.04187380851917,-234.68574925706,47.85740025619889
