,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,21095610.62213368,-14578396.663571151,3577546.675065179,5377437.407601895,24958721.467828423,1032962.7997157155,-125634.08368322364,-966879.031778819,265916.1363448792,566127.0486661104,732667.3377481403,814473.8432710298,900007.7394188436,823947.9771045605,941456.9545266804,853856.8209940696,534474.7530493373,16829.209635660904,9570.9008532311,29518.804099146157
Omegab,-14578396.663571151,22490080.420242902,-5329625.346481982,-8045598.963920801,-37988373.22745844,-2183483.332625618,193399.71694207704,-2524249.8078897973,-1927896.1602624408,-1589354.0536536756,-1558090.3784116753,-1477139.9529737262,-1489957.7779502196,-1284849.138586745,-1402907.6017827117,-1218743.5836507438,-716791.9032490856,200.13996195197473,-2044.361588701303,-470.3170303667489
h,3577546.675065179,-5329625.346481982,1278409.249921935,1947867.9461177052,9051243.853491748,516353.66889433784,-46004.8092159574,602686.616128955,449126.4066176776,369137.78181873803,362839.86380212766,345698.15556139505,350356.23498131306,303399.08386779187,332057.7569003695,287929.5908104693,166898.5802368019,-94.35513196014088,551.2248225626129,64.54791757282763
ns,5377437.407601895,-8045598.963920801,1947867.9461177052,3051934.5791950547,14187024.572434114,809802.603403868,-69425.67128792514,1138104.7291517556,785806.9835179434,608921.4256651279,571273.3354168629,523142.0275942652,512615.0840908392,432050.99962207215,461497.5298578376,389796.7182467183,219605.36386088727,-300.4646424669661,953.5766836933212,-98.95384871652963
sigma8,24958721.467828423,-37988373.22745844,9051243.853491748,14187024.572434114,79084926.64090772,4662298.459195731,-327514.8929937691,5958106.973729708,5042989.657698213,3976843.6504214965,3632577.46453628,3174013.844294012,2949691.75007098,2362937.1905536787,2418491.5248625223,2003153.8268939543,1218153.792746777,349.3453047226154,3127.864167232514,1734.5714039300624
mnu,1032962.7997157155,-2183483.332625618,516353.66889433784,809802.603403868,4662298.459195731,293145.7944782835,-18824.446189525417,399825.7004142711,319883.84230631747,248543.19247301514,226142.83265782482,197309.82342577568,184067.59880214764,148565.98038629096,154128.91837027442,131072.76202950804,84553.16185871715,51.42371002800968,-34.91061073704424,66.9471457386472
Neff,-125634.08368322364,193399.71694207704,-46004.8092159574,-69425.67128792514,-327514.8929937691,-18824.446189525417,1672.4178090199475,-21722.07148217271,-16619.88797958771,-13704.11469709457,-13438.720113739859,-12743.269479586608,-12852.656565871539,-11080.018500714361,-12091.025316773721,-10491.586512802025,-6152.655112323383,2.7284803071139416,-17.36076662355813,-2.411754896247765
b1,-966879.031778819,-2524249.8078897973,602686.616128955,1138104.7291517556,5958106.973729708,399825.7004142711,-21722.07148217271,3566492.31734698,359477.6302184025,7611.5040706162035,2910.4400592445786,511.8409903490352,148.87796000691455,63.6235419962382,30.13405447189201,2.86286254726933,4.580609418761936,83.06031855743754,-234.74166718658012,47.866499144396776
b2,265916.1363448792,-1927896.1602624408,449126.4066176776,785806.9835179434,5042989.657698213,319883.84230631747,-16619.88797958771,359477.6302184025,1873546.1853379451,351458.2136291662,9427.717642133784,2324.013452650681,361.01208882791576,32.22074249885121,12.035388293781965,1.6669625069477907,1.6545214097898113,-24.89008943670936,20.847407692780973,-26.035883949524756
b3,566127.0486661104,-1589354.0536536756,369137.78181873803,608921.4256651279,3976843.6504214965,248543.19247301514,-13704.11469709457,7611.5040706162035,351458.2136291662,1138387.899034327,336571.42845490616,8821.294391757403,2018.7005741313544,271.6980995570357,29.523331022068273,6.130485534704649,0.756546498647234,21.0778969972449,-5.978786478562453,20.40602504840415
