,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20280213.875280235,-12947601.418994412,3264828.5113180247,4287213.557714637,23929459.819722317,2082970.3765761165,510420.7563233298,-889625.8891668973,372184.4598141408,584280.1479597604,689149.9912927098,726349.1277609298,775100.3647073542,694585.7464615445,783947.750107462,707677.9903118155,444782.54031304014,17723.874104604594,10021.732733856477,31065.801650240366
Omegab,-12947601.418994412,20417595.981556978,-4949325.730250356,-6016675.195874115,-36381732.31532084,-6353362.704373541,-1319458.4968047186,-2547369.662853015,-2065246.4803107518,-1636409.5537357617,-1535109.5443377723,-1395628.0430695408,-1358623.352108072,-1140693.143492492,-1220481.8458342853,-1043490.8549768975,-605444.7344628825,277.866847149058,-1905.9934079274872,-296.7262878661968
h,3264828.5113180247,-4949325.730250356,1239024.1923210688,1624476.6187931725,8899240.142970162,1518051.3023224263,310610.8582246343,747851.8346505472,533652.6266943731,397432.6201105057,358812.3570892898,318351.606137862,305266.2099576425,254167.64437601058,270642.3306856582,230351.71988362397,131873.96849015987,-207.3345923415737,582.7142349973183,-97.33984206398236
ns,4287213.557714637,-6016675.195874115,1624476.6187931725,2682312.24605575,10652594.82225081,1638030.563901173,304411.2759920029,1527846.3235742399,862058.3745139235,529206.603002785,397195.82848658826,292649.03776032466,232278.72339760058,160228.48780587933,138548.59262362536,88320.9302930892,25823.0212597243,-874.3579094287713,1192.7707061366202,-890.8212868782543
sigma8,23929459.819722317,-36381732.31532084,8899240.142970162,10652594.82225081,80898509.03803386,14153097.268935094,2895508.9834360704,6113133.289820234,5176000.891503076,4051284.3623657064,3692280.98033911,3228808.1585985385,3007711.121893445,2416139.2277262565,2479301.937724373,2056361.9377724905,1245967.6467010058,413.85764408748287,3358.650570794741,1921.3129111165097
w0,2082970.3765761165,-6353362.704373541,1518051.3023224263,1638030.563901173,14153097.268935094,2959817.954683635,610795.7530578659,1188874.9780570338,995157.6521716721,791288.8025091868,733021.1346931705,649117.9043114034,612804.9577705193,498194.4619560152,517233.48096289375,434659.2269370595,268045.64362797176,1383.1830772881879,-496.7017845522233,1947.5102711061495
wa,510420.7563233298,-1319458.4968047186,310610.8582246343,304411.2759920029,2895508.9834360704,610795.7530578659,130322.01072064525,164514.4822674319,169312.01627500096,149044.0665166402,147779.7309979229,138307.6149265993,136949.23640906592,116077.44435896886,125464.60466834802,110207.86380382007,71580.38399616147,506.55310138268396,-55.85286862733727,760.0342222913489
b1,-889625.8891668973,-2547369.662853015,747851.8346505472,1527846.3235742399,6113133.289820234,1188874.9780570338,164514.4822674319,3680697.3941410347,368674.27818444243,7458.052733323116,3084.4894468272473,549.2309496121321,154.25857605457995,68.72981600034295,32.05447727194072,2.964565734660731,5.159352808777824,88.9308339364964,-253.12371349344892,50.58206942582069
b2,372184.4598141408,-2065246.4803107518,533652.6266943731,862058.3745139235,5176000.891503076,995157.6521716721,169312.01627500096,368674.27818444243,1920403.9380382407,356452.4256100534,9274.092289249875,2415.3575786154192,390.76437138657064,29.64619487433474,12.765563983793754,1.7521452466865406,1.8289371422926866,-31.70217410555259,32.795307438407136,-31.867393217048182
b3,584280.1479597604,-1636409.5537357617,397432.6201105057,529206.603002785,4051284.3623657064,791288.8025091868,149044.0665166402,7458.052733323116,356452.4256100534,1166763.4883670376,342265.5351080592,8771.548173110112,2044.5118691484986,296.3448165242461,29.566825309320887,6.259798870277413,0.8424204960146896,16.72541229308907,3.2333714176604964,16.70425461208117
b4,689149.9912927098,-1535109.5443377723,358812.3570892898,397195.82848658826,3692280.98033911,733021.1346931705,147779.7309979229,3084.4894468272473,9274.092289249875,342265.5351080592,954060.8330031962,302995.71098580584,10594.286913199972,1812.4626639665694,248.78731311822824,17.960698002284087,5.0712443955655075,4.965276230882058,-11.933278095271815,3.9083089955536856
