,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2335056.986110584,-1661341.4270793842,-4024587.268232429,313025.22114083875,329535.3076328932,-52974.60899679214,-12908.863583682161,248401.0711811229,62591.91108544154,621699.8395987777,639557.5643634531,556949.4495236699,520169.53529760736,68.66643000666427,66.84861085944186,55.69247154350101,50.638932494714375
Omegab,-1661341.4270793842,4789215.753552024,-67720.02200582117,-897840.3968706052,29726.964576470244,100878.90919488436,38897.09711076095,80526.47251712161,21315.370441908926,-71032.78902811784,-29662.678109472065,33753.781657466316,159569.68561999022,-40.02746117153721,-36.41863190889458,-27.7057649825895,-20.94238460418979
h,-4024587.268232429,-67720.02200582117,13580561.236876823,123209.87741919534,-1664358.7377393693,45610.52728261548,-2695.9322119495746,-775990.9750854038,-157192.04993283068,-1839047.1062548803,-1802397.9143835523,-1534019.5279909915,-1468506.8830154517,-173.02477259500773,-159.66182250823468,-127.08937460884046,-111.34146808734499
ns,313025.22114083875,-897840.3968706052,123209.87741919534,253647.70200786402,-41134.29533344997,-26565.32667167071,-7716.406708725462,-57236.70422257578,-13828.319235303112,-19684.88403538837,-32178.713642441362,-45389.60670850681,-79893.62441579808,8.672668027956126,7.5989052819742,5.447292584818981,3.562304168242953
sigma8,329535.3076328932,29726.964576470244,-1664358.7377393693,-41134.29533344997,269838.2679981986,-3345.384672228308,387.52114434440966,88898.95643345203,13969.758748394124,201154.8771753707,193850.94148793037,163606.70353092294,158497.67697500082,18.101999914428102,16.363123616389945,12.830137127517855,11.21877292294798
mnu,-52974.60899679214,100878.90919488436,45610.52728261548,-26565.32667167071,-3345.384672228308,3283.4703308696985,829.5164303519239,2968.47316783461,868.3985919619852,-6148.432977892401,-4298.177658919125,-1561.5646501763458,2476.474367619525,-1.5513445954857852,-1.342082074641331,-0.9799733030769905,-0.7195078118832241
Neff,-12908.863583682161,38897.09711076095,-2695.9322119495746,-7716.406708725462,387.52114434440966,829.5164303519239,348.34305624845297,665.4915809872753,177.62784252086732,-417.4148339820749,-57.206690722378426,459.59242413252946,1526.6963961310016,-0.3224916045541887,-0.2912211172563544,-0.21969277655358294,-0.1630755659516874
w0,248401.0711811229,80526.47251712161,-775990.9750854038,-57236.70422257578,88898.95643345203,2968.47316783461,665.4915809872753,72951.32387941341,17164.2696399114,125909.90861862383,130196.30125941125,115805.0726653538,117294.80371109914,8.899014365701445,8.936306191027336,7.58649890350414,7.100358416484563
wa,62591.91108544154,21315.370441908926,-157192.04993283068,-13828.319235303112,13969.758748394124,868.3985919619852,177.62784252086732,17164.2696399114,4409.865216027085,26284.33626981703,29450.849106562968,27729.52041305169,29467.453541750572,1.763686542436281,1.939246923286927,1.7583001306726909,1.742814797407925
lnbgs8_1,621699.8395987777,-71032.78902811784,-1839047.1062548803,-19684.88403538837,201154.8771753707,-6148.432977892401,-417.4148339820749,125909.90861862383,26284.33626981703,1008183.2530138504,0.0,0.0,0.0,85.86487261052883,0.0,0.0,0.0
lnbgs8_2,639557.5643634531,-29662.678109472065,-1802397.9143835523,-32178.713642441362,193850.94148793037,-4298.177658919125,-57.206690722378426,130196.30125941125,29450.849106562968,0.0,1013606.1246127416,0.0,0.0,0.0,81.83021614474414,0.0,0.0
lnbgs8_3,556949.4495236699,33753.781657466316,-1534019.5279909915,-45389.60670850681,163606.70353092294,-1561.5646501763458,459.59242413252946,115805.0726653538,27729.52041305169,0.0,0.0,886164.6573371289,0.0,0.0,0.0,67.34290317702752,0.0
lnbgs8_4,520169.53529760736,159569.68561999022,-1468506.8830154517,-79893.62441579808,158497.67697500082,2476.474367619525,1526.6963961310016,117294.80371109914,29467.453541750572,0.0,0.0,0.0,877264.0010129613,0.0,0.0,0.0,61.422524273040814
Ps_1,68.66643000666427,-40.02746117153721,-173.02477259500773,8.672668027956126,18.101999914428102,-1.5513445954857852,-0.3224916045541887,8.899014365701445,1.763686542436281,85.86487261052883,0.0,0.0,0.0,0.009790851129255186,0.0,0.0,0.0
Ps_2,66.84861085944186,-36.41863190889458,-159.66182250823468,7.5989052819742,16.363123616389945,-1.342082074641331,-0.2912211172563544,8.936306191027336,1.939246923286927,0.0,81.83021614474414,0.0,0.0,0.0,0.008907021219164507,0.0,0.0
Ps_3,55.69247154350101,-27.7057649825895,-127.08937460884046,5.447292584818981,12.830137127517855,-0.9799733030769905,-0.21969277655358294,7.58649890350414,1.7583001306726909,0.0,0.0,67.34290317702752,0.0,0.0,0.0,0.0069972129850843934,0.0
Ps_4,50.638932494714375,-20.94238460418979,-111.34146808734499,3.562304168242953,11.21877292294798,-0.7195078118832241,-0.1630755659516874,7.100358416484563,1.742814797407925,0.0,0.0,0.0,61.422524273040814,0.0,0.0,0.0,0.00607738898822826
