,h,Omegam,Omegab,sigma8,ns,w0,wa,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,233483.41040343035,63790.840447633374,-729643.527552977,-173311.2585134217,177126.40380477248,-72276.94957188953,-12924.569062216291,-19553.839605386802,-6295.428011451961,-125080.41279789296,-122484.32838323605,-109382.63119913034,-122969.79671975957,-6.522950161608183,-5.24420007563403,-3.734424108147418,-3.2149289807573886
Omegam,63790.840447633374,2346128.489694362,-1670272.5843267401,329592.5268456769,315323.1810678259,249836.645119471,63043.00557874939,-23179.668126974648,-12974.352912767703,624278.0198252903,642858.5931703943,560555.6051327408,524530.198494718,68.42168873785407,66.67614052071148,55.6201945139349,50.6664319008767
Omegab,-729643.527552977,-1670272.5843267401,4799341.659380379,28410.200986516706,-902024.0384524248,80641.74785594779,21374.38477091291,76354.2661507068,39022.400772781955,-72857.8285491009,-31538.920848025562,32485.623908113193,158963.9942062346,-40.045610162856626,-36.4734262135927,-27.75804150052686,-21.045518561811097
sigma8,-173311.2585134217,329592.5268456769,28410.200986516706,271663.61974774196,-40938.35826526527,89496.75857619895,14058.082710467512,10726.523334459209,379.20439343978666,202381.9948136878,195141.7771997989,164830.0700813829,159900.60172054183,18.0862464558649,16.35930201937286,12.839182211073297,11.244088928457632
ns,177126.40380477248,315323.1810678259,-902024.0384524248,-40938.35826526527,254804.55324847932,-57366.04473110149,-13866.708775198265,-21948.736823674466,-7749.8992676056005,-19338.333160131573,-31875.698990942532,-45220.16533788535,-80016.86196239604,8.68350670196931,7.617234074290005,5.470182292953426,3.590964785122342
w0,-72276.94957188953,249836.645119471,80641.74785594779,89496.75857619895,-57366.04473110149,73467.65630828796,17287.190827120066,6761.252961333626,664.0027113949723,126715.93214571028,131099.4384327792,116691.70216728453,118355.63258318367,8.891740996568052,8.934801163721884,7.591741777555013,7.11697374535146
wa,-12924.569062216291,63043.00557874939,21374.38477091291,14058.082710467512,-13866.708775198265,17287.190827120066,4442.207861861796,1383.3040302417044,177.5237745466626,26446.649173890506,29653.46338581691,27939.998261465124,29741.34324082827,1.7615025336684202,1.9383441581122498,1.7591501068513473,1.7476205139419374
mnu,-19553.839605386802,-23179.668126974648,76354.2661507068,10726.523334459209,-21948.736823674466,6761.252961333626,1383.3040302417044,2244.7745454156825,626.3301695458608,5064.452063446577,6343.22288687109,7110.609018513656,10135.61942447012,-0.2942073165017967,-0.20596082812808503,-0.09552299490145966,0.0318543785793276
Neff,-6295.428011451961,-12974.352912767703,39022.400772781955,379.20439343978666,-7749.8992676056005,664.0027113949723,177.5237745466626,626.3301695458608,349.9584272051794,-430.5556126690535,-70.67209348202869,452.66849795305916,1524.8728024085826,-0.3223278588828455,-0.29149958817311145,-0.2199072001676316,-0.16375564048872282
lnbgs8_1,-125080.41279789296,624278.0198252903,-72857.8285491009,202381.9948136878,-19338.333160131573,126715.93214571028,26446.649173890506,5064.452063446577,-430.5556126690535,1014906.318558919,0.0,0.0,0.0,85.81096898668727,0.0,0.0,0.0
lnbgs8_2,-122484.32838323605,642858.5931703943,-31538.920848025562,195141.7771997989,-31875.698990942532,131099.4384327792,29653.46338581691,6343.22288687109,-70.67209348202869,0.0,1020967.8099655092,0.0,0.0,0.0,81.83405290717062,0.0,0.0
lnbgs8_3,-109382.63119913034,560555.6051327408,32485.623908113193,164830.0700813829,-45220.16533788535,116691.70216728453,27939.998261465124,7110.609018513656,452.66849795305916,0.0,0.0,893343.0613436844,0.0,0.0,0.0,67.41044619122066,0.0
lnbgs8_4,-122969.79671975957,524530.198494718,158963.9942062346,159900.60172054183,-80016.86196239604,118355.63258318367,29741.34324082827,10135.61942447012,1524.8728024085826,0.0,0.0,0.0,885636.1226647,0.0,0.0,0.0,61.58336901556467
Ps_1,-6.522950161608183,68.42168873785407,-40.045610162856626,18.0862464558649,8.68350670196931,8.891740996568052,1.7615025336684202,-0.2942073165017967,-0.3223278588828455,85.81096898668727,0.0,0.0,0.0,0.009707817572429127,0.0,0.0,0.0
Ps_2,-5.24420007563403,66.67614052071148,-36.4734262135927,16.35930201937286,7.617234074290005,8.934801163721884,1.9383441581122498,-0.20596082812808503,-0.29149958817311145,0.0,81.83405290717062,0.0,0.0,0.0,0.008837716083902441,0.0,0.0
Ps_3,-3.734424108147418,55.6201945139349,-27.75804150052686,12.839182211073297,5.470182292953426,7.591741777555013,1.7591501068513473,-0.09552299490145966,-0.2199072001676316,0.0,0.0,67.41044619122066,0.0,0.0,0.0,0.006949736517463886,0.0
Ps_4,-3.2149289807573886,50.6664319008767,-21.045518561811097,11.244088928457632,3.590964785122342,7.11697374535146,1.7476205139419374,0.0318543785793276,-0.16375564048872282,0.0,0.0,0.0,61.58336901556467,0.0,0.0,0.0,0.006046220233226608
