,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2317585.9846150316,-1662061.7802378968,-4017572.2854338633,314476.5512008156,326130.7062901729,-52913.17752137219,-12915.704547890882,244683.36804311804,61720.392136620925,617682.1585915585,635154.2894195362,552930.9778935575,516248.83147525974,68.604113762648,66.70777413312948,55.51788289700415,50.4280356134061
Omegab,-1662061.7802378968,4781257.85702193,-39681.33730471198,-899107.2894075683,27772.72179520272,101108.02168362934,38882.53393278975,80950.53690108488,21468.26423230357,-73349.27740894945,-31645.93414615994,32535.925571665342,158521.64959018544,-40.563125154029294,-36.851866274946126,-27.966647490076415,-21.122437030844427
h,-4017572.2854338633,-39681.33730471198,13640631.450036848,115282.26815764456,-1663203.1399622746,46083.50395976147,-2511.2404109615095,-771494.9848639286,-156079.62965480864,-1840222.441212142,-1803432.8113005892,-1534592.9204155218,-1468511.8012615875,-173.98876730378592,-160.47280854069714,-127.64788786613839,-111.71737677953932
ns,314476.5512008156,-899107.2894075683,115282.26815764456,253847.8718586537,-40274.650340180524,-26627.539980126352,-7726.507905045788,-57005.16477069774,-13792.135878531633,-18686.93135779872,-31317.288144583,-44746.06358421786,-79358.80970552895,8.830485429323947,7.7270981872744855,5.534851630521045,3.6236788105482938
sigma8,326130.7062901729,27772.72179520272,-1663203.1399622746,-40274.650340180524,268504.4593172095,-3350.5395012003637,373.1755823623343,87937.23983160748,13755.294200805572,200187.49819026608,192938.13828552217,162845.56502233693,157783.65529965615,18.104444573934416,16.356276988637276,12.816152626467305,11.197168073981107
mnu,-52913.17752137219,101108.02168362934,46083.50395976147,-26627.539980126352,-3350.5395012003637,3290.033230233883,831.1769857253151,3001.7070826276404,877.178246092983,-6160.662404251689,-4307.471269328789,-1559.8086482557392,2477.3016821456085,-1.5622733723654965,-1.3507010314733232,-0.9848708288416117,-0.7230426279920069
Neff,-12915.704547890882,38882.53393278975,-2511.2404109615095,-7726.507905045788,373.1755823623343,831.1769857253151,348.7159112728942,666.5654007975584,178.28475131834796,-435.61689596637416,-72.73593224469778,451.90119137758575,1519.89452243417,-0.32656775160757107,-0.29461716785168396,-0.22164756901340948,-0.16443538870514335
w0,244683.36804311804,80950.53690108488,-771494.9848639286,-57005.16477069774,87937.23983160748,3001.7070826276404,666.5654007975584,72175.86982799765,16989.032349514986,124650.34656907304,129007.71154590356,114859.48870510017,116481.67272997447,8.81506568256533,8.858922490553153,7.526375659135675,7.049828074482262
wa,61720.392136620925,21468.26423230357,-156079.62965480864,-13792.135878531633,13755.294200805572,877.178246092983,178.28475131834796,16989.032349514986,4370.3272924011035,26010.1495829114,29172.97543270887,27491.19122734321,29260.95213164247,1.7440327515618577,1.9196721270431545,1.742077340872799,1.7296360072889585
lnbgs8_1,617682.1585915585,-73349.27740894945,-1840222.441212142,-18686.93135779872,200187.49819026608,-6160.662404251689,-435.61689596637416,124650.34656907304,26010.1495829114,1004018.2622463189,0.0,0.0,0.0,85.865364075726,0.0,0.0,0.0
lnbgs8_2,635154.2894195362,-31645.93414615994,-1803432.8113005892,-31317.288144583,192938.13828552217,-4307.471269328789,-72.73593224469778,129007.71154590356,29172.97543270887,0.0,1009566.3546420209,0.0,0.0,0.0,81.79320513149835,0.0,0.0
lnbgs8_3,552930.9778935575,32535.925571665342,-1534592.9204155218,-44746.06358421786,162845.56502233693,-1559.8086482557392,451.90119137758575,114859.48870510017,27491.19122734321,0.0,0.0,882736.6670922516,0.0,0.0,0.0,67.27787216092574,0.0
lnbgs8_4,516248.83147525974,158521.64959018544,-1468511.8012615875,-79358.80970552895,157783.65529965615,2477.3016821456085,1519.89452243417,116481.67272997447,29260.95213164247,0.0,0.0,0.0,874013.2589209473,0.0,0.0,0.0,61.32362511353913
Ps_1,68.604113762648,-40.563125154029294,-173.98876730378592,8.830485429323947,18.104444573934416,-1.5622733723654965,-0.32656775160757107,8.81506568256533,1.7440327515618577,85.865364075726,0.0,0.0,0.0,0.00985478622418354,0.0,0.0,0.0
Ps_2,66.70777413312948,-36.851866274946126,-160.47280854069714,7.7270981872744855,16.356276988637276,-1.3507010314733232,-0.29461716785168396,8.858922490553153,1.9196721270431545,0.0,81.79320513149835,0.0,0.0,0.0,0.008955013413249453,0.0,0.0
Ps_3,55.51788289700415,-27.966647490076415,-127.64788786613839,5.534851630521045,12.816152626467305,-0.9848708288416117,-0.22164756901340948,7.526375659135675,1.742077340872799,0.0,0.0,67.27787216092574,0.0,0.0,0.0,0.007026429795139751,0.0
Ps_4,50.4280356134061,-21.122437030844427,-111.71737677953932,3.6236788105482938,11.197168073981107,-0.7230426279920069,-0.16443538870514335,7.049828074482262,1.7296360072889585,0.0,0.0,0.0,61.32362511353913,0.0,0.0,0.0,0.006093619521118912
