,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3375985.0691261804,-2508200.0509331813,-5783528.169075925,588482.6397430748,443897.70911749516,-34291.79225624877,-20791.457428372654,904139.5478345383,904626.7742424851,763105.5714234312,682602.6896481052,131.90090871176557,123.85162265996921,98.79526673815047,84.36789315495189
Omegab,-2508200.0509331813,5571124.175937359,1685467.8052856275,-1145951.2316681268,-110658.91806180112,85848.9140635875,46883.39741168477,-326316.8254766837,-258905.78238905023,-136770.78760370455,32448.464793433202,-101.91404792948765,-89.95608149797192,-66.43835021028092,-49.6831443362956
h,-5783528.169075925,1685467.8052856275,18086366.113880172,-433922.58386609587,-2081373.027668701,-35364.08093517504,12045.625336606523,-2407596.7484988645,-2313410.8620510227,-1915754.3918649834,-1757126.3104275176,-321.2978703790139,-286.65069019110416,-218.05756145152648,-178.08982951003003
ns,588482.6397430748,-1145951.2316681268,-433922.58386609587,333893.9665474102,1987.0194509936264,-25206.391678983135,-10213.111435850495,61093.40560363389,41322.36802022671,10026.99393667448,-38065.70309345955,28.298971993017105,24.81187545167058,18.07897868379801,13.080838113623521
sigma8,443897.70911749516,-110658.91806180112,-2081373.027668701,1987.0194509936264,315729.4604666482,10925.523772843448,-668.1138184926908,244518.98117260778,232041.62262756878,191720.99992942042,179760.5951239806,30.701510646325236,26.866699216557542,20.174464475662717,16.50970048070021
mnu,-34291.79225624877,85848.9140635875,-35364.08093517504,-25206.391678983135,10925.523772843448,2496.3700360216235,742.121479393242,2357.535531351481,3975.5370599417756,5414.7737317143155,8982.103245968923,-0.9974890298475636,-0.8027150334833315,-0.519707428461768,-0.2722190759894614
Neff,-20791.457428372654,46883.39741168477,12045.625336606523,-10213.111435850495,-668.1138184926908,742.121479393242,428.32091979784065,-2620.534414251968,-2017.8819271475604,-969.9737686724143,521.2758112670153,-0.8765788879586853,-0.7706959679634802,-0.5663491065393117,-0.4194353700468224
lnbgs8_1,904139.5478345383,-326316.8254766837,-2407596.7484988645,61093.40560363389,244518.98117260778,2357.535531351481,-2620.534414251968,1273190.640455097,0.0,0.0,0.0,146.66963134188836,0.0,0.0,0.0
lnbgs8_2,904626.7742424851,-258905.78238905023,-2313410.8620510227,41322.36802022671,232041.62262756878,3975.5370599417756,-2017.8819271475604,0.0,1257396.9055706984,0.0,0.0,0.0,135.7450579466829,0.0,0.0
lnbgs8_3,763105.5714234312,-136770.78760370455,-1915754.3918649834,10026.99393667448,191720.99992942042,5414.7737317143155,-969.9737686724143,0.0,0.0,1072759.650861745,0.0,0.0,0.0,107.36978519862366,0.0
lnbgs8_4,682602.6896481052,32448.464793433202,-1757126.3104275176,-38065.70309345955,179760.5951239806,8982.103245968923,521.2758112670153,0.0,0.0,0.0,1022486.1125313803,0.0,0.0,0.0,92.04281227529323
Ps_1,131.90090871176557,-101.91404792948765,-321.2978703790139,28.298971993017105,30.701510646325236,-0.9974890298475636,-0.8765788879586853,146.66963134188836,0.0,0.0,0.0,0.02513656756980339,0.0,0.0,0.0
Ps_2,123.85162265996921,-89.95608149797192,-286.65069019110416,24.81187545167058,26.866699216557542,-0.8027150334833315,-0.7706959679634802,0.0,135.7450579466829,0.0,0.0,0.0,0.021935590852837365,0.0,0.0
Ps_3,98.79526673815047,-66.43835021028092,-218.05756145152648,18.07897868379801,20.174464475662717,-0.519707428461768,-0.5663491065393117,0.0,0.0,107.36978519862366,0.0,0.0,0.0,0.0163308605260333,0.0
Ps_4,84.36789315495189,-49.6831443362956,-178.08982951003003,13.080838113623521,16.50970048070021,-0.2722190759894614,-0.4194353700468224,0.0,0.0,0.0,92.04281227529323,0.0,0.0,0.0,0.013088129901091013
