,Omegam,Neff,ns,Omegab,h,mnu,sigma8,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3342569.9008084927,-21144.63150949731,582838.3738761366,-2489081.4094077344,-5727094.074448697,-76681.38569159945,439794.8111923907,896901.6282908688,896712.4671711838,755688.674148378,674815.7428359676,130.8516227390965,122.76015680585829,97.8199159165325,83.40004215538843
Neff,-21144.63150949731,413.0777885800054,-9910.68463217757,45918.70115349689,14280.607970179753,1021.4930134523111,-962.8261894628321,-2920.70633023628,-2346.8345355551764,-1281.574948455177,166.29036287684812,-0.8949724959856243,-0.7901447361538714,-0.5835395468704897,-0.436855042866779
ns,582838.3738761366,-9910.68463217757,331732.30973202107,-1139746.5559328217,-423402.5114270392,-33255.50111023287,1255.8749771035073,59855.86180567686,40145.590936663124,9133.02577112068,-38572.29583600667,28.025787831438777,24.549545793944397,17.8649720144478,12.89885104754786
Omegab,-2489081.4094077344,45918.70115349689,-1139746.5559328217,5547517.680128649,1651964.4711768955,121549.3026923757,-107211.63578796113,-321829.0397698082,-254458.9557926653,-133121.30826178828,35076.11938328529,-101.05454035061912,-89.13032910996122,-65.74500905034594,-49.07245098258289
h,-5727094.074448697,14280.607970179753,-423402.5114270392,1651964.4711768955,17871077.826713696,98205.98007718792,-2053212.2375104334,-2387451.4606772475,-2292777.3694960265,-1897245.7663014922,-1737966.6976467934,-318.2378470650651,-283.7279409047113,-215.64138877836473,-175.87326740701053
mnu,-76681.38569159945,1021.4930134523111,-33255.50111023287,121549.3026923757,98205.98007718792,3862.960587381543,-7703.270194448074,-13804.303613747612,-11046.139122343859,-6538.036370510596,-1250.5813889048004,-3.419933177221393,-2.9163682615803292,-2.0943706939909084,-1.5251941277672325
sigma8,439794.8111923907,-962.8261894628321,1255.8749771035073,-107211.63578796113,-2053212.2375104334,-7703.270194448074,311216.73324616894,242169.6582484548,229672.37637277602,189616.05453047226,177559.06101670963,30.368934696607553,26.55604978553286,19.922784314839568,16.280876827571
lnbgs8_1,896901.6282908688,-2920.70633023628,59855.86180567686,-321829.0397698082,-2387451.4606772475,-13804.303613747612,242169.6582484548,1264642.2764244413,0.0,0.0,0.0,145.51458371330736,0.0,0.0,0.0
lnbgs8_2,896712.4671711838,-2346.8345355551764,40145.590936663124,-254458.9557926653,-2292777.3694960265,-11046.139122343859,229672.37637277602,0.0,1248234.3237523194,0.0,0.0,0.0,134.58063791778812,0.0,0.0
lnbgs8_3,755688.674148378,-1281.574948455177,9133.02577112068,-133121.30826178828,-1897245.7663014922,-6538.036370510596,189616.05453047226,0.0,0.0,1064097.0565046654,0.0,0.0,0.0,106.34761938157695,0.0
lnbgs8_4,674815.7428359676,166.29036287684812,-38572.29583600667,35076.11938328529,-1737966.6976467934,-1250.5813889048004,177559.06101670963,0.0,0.0,0.0,1012922.8964249567,0.0,0.0,0.0,91.03641446155729
Ps_1,130.8516227390965,-0.8949724959856243,28.025787831438777,-101.05454035061912,-318.2378470650651,-3.419933177221393,30.368934696607553,145.51458371330736,0.0,0.0,0.0,0.02493874279408486,0.0,0.0,0.0
Ps_2,122.76015680585829,-0.7901447361538714,24.549545793944397,-89.13032910996122,-283.7279409047113,-2.9163682615803292,26.55604978553286,0.0,134.58063791778812,0.0,0.0,0.0,0.021745351334945203,0.0,0.0
Ps_3,97.8199159165325,-0.5835395468704897,17.8649720144478,-65.74500905034594,-215.64138877836473,-2.0943706939909084,19.922784314839568,0.0,0.0,106.34761938157695,0.0,0.0,0.0,0.01617228868140856,0.0
Ps_4,83.40004215538843,-0.436855042866779,12.89885104754786,-49.07245098258289,-175.87326740701053,-1.5251941277672325,16.280876827571,0.0,0.0,0.0,91.03641446155729,0.0,0.0,0.0,0.01294201701708648
