5  1.21371	-1.053231e+00	2.044837e-01	4.714409e-02	6.741606e-01	9.772540e-01	8.147019e-01	3.199930e+00	2.609826e-02	3.053726e-01	-1.038516e+01	4.428675e+00	-5.070787e-01	-4.316622e-01	-3.164781e-01	-3.093052e-01	-3.035642e-01	-3.118522e-01	
4  2.56789	-9.615508e-01	-8.329332e-02	5.071897e-02	6.724765e-01	9.568502e-01	8.049302e-01	2.972408e+00	1.568543e-02	3.185620e-01	6.429480e+00	2.760667e+01	1.258066e+01	1.790623e+01	-3.312233e-01	-3.246918e-01	-3.174216e-01	-3.264335e-01	
1  2.93978	-9.437947e-01	-1.998266e-01	5.220178e-02	6.737389e-01	9.478718e-01	8.068624e-01	2.831069e+00	3.616263e-02	3.236194e-01	1.407276e+01	3.078115e+01	1.820560e+01	3.700543e+01	-3.320158e-01	-3.247661e-01	-3.179761e-01	-3.283955e-01	
4  2.62642	-9.647854e-01	-1.009085e-01	5.074793e-02	6.741785e-01	9.614540e-01	8.102502e-01	3.040539e+00	6.224194e-02	3.195917e-01	5.298658e+00	1.673926e+01	1.179214e+01	2.810976e+01	-3.288460e-01	-3.215416e-01	-3.150692e-01	-3.248617e-01	
2  2.11229	-1.042270e+00	1.431982e-01	4.758902e-02	6.760843e-01	9.767390e-01	8.186629e-01	3.217377e+00	3.936463e-02	3.065162e-01	-3.692974e+00	5.326792e+00	-3.798001e+00	2.161223e+01	-3.145764e-01	-3.067193e-01	-3.005673e-01	-3.113809e-01	
3  3.3247	-1.014690e+00	6.115471e-02	4.846135e-02	6.745978e-01	9.781980e-01	8.123924e-01	3.192447e+00	1.031788e-01	3.125116e-01	-1.887443e+01	-2.633141e+00	-8.707368e+00	1.684259e+01	-3.203005e-01	-3.125961e-01	-3.071494e-01	-3.173525e-01	
1  3.5618	-1.038876e+00	1.405345e-01	4.705079e-02	6.749211e-01	9.863152e-01	8.125307e-01	3.291171e+00	1.245054e-01	3.072254e-01	-2.148852e+01	-1.174490e+00	-1.037630e+01	1.039777e+01	-3.154645e-01	-3.086483e-01	-3.025386e-01	-3.122066e-01	
1  4.52201	-9.906937e-01	-4.936096e-02	4.860011e-02	6.745831e-01	9.803499e-01	8.053528e-01	3.203457e+00	8.045785e-02	3.103222e-01	-2.321932e+01	7.825949e+00	-1.229099e+01	-1.026856e+00	-3.177638e-01	-3.110978e-01	-3.038801e-01	-3.122950e-01	
2  6.35511	-9.872261e-01	-8.327358e-02	4.786109e-02	6.746149e-01	9.841243e-01	8.011751e-01	3.183804e+00	9.902769e-02	3.080590e-01	-2.997680e+01	3.798294e+00	-1.971150e+01	-1.631168e+01	-3.149543e-01	-3.081057e-01	-3.009506e-01	-3.082975e-01	
3  6.7546	-9.871249e-01	-1.278042e-01	4.871127e-02	6.766071e-01	9.791911e-01	8.055397e-01	3.071770e+00	5.929829e-02	3.060159e-01	-9.861018e+00	1.908925e+01	-9.171649e+00	-4.294952e+00	-3.117414e-01	-3.037966e-01	-2.960056e-01	-3.038767e-01	
1  4.19388	-1.004663e+00	-7.043289e-02	4.952183e-02	6.759635e-01	9.737599e-01	8.089063e-01	2.952930e+00	5.687691e-02	3.075518e-01	-4.187682e+00	1.363614e+01	4.037780e+00	-2.322173e+00	-3.141769e-01	-3.054289e-01	-2.994054e-01	-3.068025e-01	
2  4.33343	-9.396856e-01	-3.728801e-01	5.125480e-02	6.763698e-01	9.555845e-01	8.016691e-01	2.810816e+00	5.758855e-02	3.169379e-01	1.164690e+01	3.447311e+01	1.764116e+01	1.681386e+01	-3.196257e-01	-3.110360e-01	-3.045098e-01	-3.122066e-01	
