14  3.59244	-1.034139e+00	1.366122e-01	4.769058e-02	6.883574e-01	9.592572e-01	8.137870e-01	3.216311e+00	5.373904e-02	3.110571e-01	1.097299e+00	1.216506e+00	1.269279e+00	1.311805e+00	1.353096e+00	1.394288e+00	1.437099e+00	1.489739e+00	1.557826e+00	1.735317e+00	1.748989e+00	-4.240126e-01	
2  5.15063	-1.037671e+00	1.236934e-01	4.747628e-02	6.841792e-01	9.658148e-01	8.126354e-01	3.351245e+00	6.370344e-02	3.113310e-01	1.098715e+00	1.219648e+00	1.272771e+00	1.315818e+00	1.355863e+00	1.398696e+00	1.440901e+00	1.493919e+00	1.561692e+00	1.740909e+00	1.663163e+00	-3.722628e-01	
6  5.59154	-1.075513e+00	2.609804e-01	4.748008e-02	6.935316e-01	9.600352e-01	8.155401e-01	3.299306e+00	5.921802e-02	3.082901e-01	1.098978e+00	1.220168e+00	1.271795e+00	1.316074e+00	1.355671e+00	1.397455e+00	1.439592e+00	1.491880e+00	1.559150e+00	1.736577e+00	1.724782e+00	-4.015482e-01	
1  6.81896	-1.050705e+00	1.527969e-01	4.710732e-02	6.658159e-01	9.685065e-01	8.132504e-01	2.904907e+00	7.291875e-02	3.099214e-01	1.098561e+00	1.219576e+00	1.271946e+00	1.317021e+00	1.356050e+00	1.398482e+00	1.441830e+00	1.494871e+00	1.561403e+00	1.739979e+00	1.704127e+00	-3.760433e-01	
1  6.16736	-1.044883e+00	1.347460e-01	4.802438e-02	6.797775e-01	9.625353e-01	8.120850e-01	2.984247e+00	1.009851e-01	3.109137e-01	1.098002e+00	1.218154e+00	1.270287e+00	1.316360e+00	1.353650e+00	1.397605e+00	1.438875e+00	1.492951e+00	1.559685e+00	1.736780e+00	1.751645e+00	-4.143630e-01	
13  7.39125	-1.054917e+00	1.546611e-01	4.944385e-02	6.764910e-01	9.640468e-01	8.123506e-01	2.742948e+00	9.053256e-02	3.102190e-01	1.100494e+00	1.221189e+00	1.273174e+00	1.319359e+00	1.358293e+00	1.400778e+00	1.442567e+00	1.496850e+00	1.564114e+00	1.739536e+00	1.748410e+00	-4.093333e-01	
19  6.21574	-1.054782e+00	1.875395e-01	4.948964e-02	6.970621e-01	9.544090e-01	8.142422e-01	2.964277e+00	6.720953e-02	3.098805e-01	1.098953e+00	1.219295e+00	1.269878e+00	1.315814e+00	1.353482e+00	1.397203e+00	1.438239e+00	1.491668e+00	1.559747e+00	1.733484e+00	1.861730e+00	-4.766049e-01	
1  7.97715	-1.050077e+00	1.492956e-01	5.052512e-02	6.862656e-01	9.596758e-01	8.118450e-01	2.755522e+00	9.381928e-02	3.114096e-01	1.100725e+00	1.221422e+00	1.272119e+00	1.318158e+00	1.355911e+00	1.400466e+00	1.440901e+00	1.495149e+00	1.563435e+00	1.735734e+00	1.884529e+00	-5.006065e-01	
1  8.33399	-1.044294e+00	1.342566e-01	4.996496e-02	7.066651e-01	9.537479e-01	8.126524e-01	3.167366e+00	8.807965e-02	3.111123e-01	1.099587e+00	1.220044e+00	1.271095e+00	1.316057e+00	1.354360e+00	1.398062e+00	1.439778e+00	1.492305e+00	1.562922e+00	1.733807e+00	1.813661e+00	-4.573084e-01	
9  7.38869	-1.042894e+00	1.236555e-01	5.105074e-02	6.997800e-01	9.558456e-01	8.121444e-01	2.947587e+00	9.019078e-02	3.115765e-01	1.100122e+00	1.221035e+00	1.271469e+00	1.316708e+00	1.356730e+00	1.399500e+00	1.440998e+00	1.493336e+00	1.563966e+00	1.734784e+00	1.669711e+00	-3.638859e-01	
