1  3.32497	4.854060e-02	6.771127e-01	9.647173e-01	8.097905e-01	3.205821e+00	8.722323e-02	3.148825e-01	1.099835e+00	1.219688e+00	1.271892e+00	1.315795e+00	1.357443e+00	1.398207e+00	1.443886e+00	1.494648e+00	1.563176e+00	1.741542e+00	1.705848e+00	-4.007282e-01	
9  3.3992	4.836931e-02	6.902115e-01	9.612200e-01	8.093854e-01	3.324554e+00	9.028487e-02	3.146907e-01	1.099801e+00	1.219433e+00	1.271733e+00	1.315592e+00	1.356450e+00	1.397286e+00	1.443657e+00	1.493399e+00	1.561997e+00	1.739971e+00	1.679582e+00	-3.837719e-01	
5  3.67147	4.836931e-02	6.902115e-01	9.612200e-01	8.093854e-01	3.324554e+00	9.028487e-02	3.146907e-01	1.099257e+00	1.219799e+00	1.271160e+00	1.314879e+00	1.355976e+00	1.397899e+00	1.442618e+00	1.494278e+00	1.562104e+00	1.739142e+00	1.725088e+00	-4.194823e-01	
4  5.79686	4.836931e-02	6.902115e-01	9.612200e-01	8.093854e-01	3.324554e+00	9.028487e-02	3.146907e-01	1.099159e+00	1.219463e+00	1.270799e+00	1.313911e+00	1.355328e+00	1.398054e+00	1.442043e+00	1.494030e+00	1.561966e+00	1.738941e+00	1.750565e+00	-4.353317e-01	
2  6.5361	4.966292e-02	6.937218e-01	9.620838e-01	8.104153e-01	3.366982e+00	7.484787e-02	3.144355e-01	1.097967e+00	1.218637e+00	1.269698e+00	1.313055e+00	1.354587e+00	1.397798e+00	1.440850e+00	1.493728e+00	1.561717e+00	1.739187e+00	1.800098e+00	-4.643966e-01	
4  7.09818	4.763318e-02	6.809832e-01	9.671522e-01	8.094660e-01	3.375097e+00	1.019149e-01	3.142256e-01	1.097761e+00	1.218956e+00	1.270195e+00	1.313495e+00	1.354767e+00	1.399156e+00	1.440994e+00	1.495069e+00	1.562571e+00	1.740154e+00	1.770284e+00	-4.464026e-01	
3  8.20051	4.791612e-02	6.960863e-01	9.637013e-01	8.092894e-01	3.567044e+00	9.900031e-02	3.142429e-01	1.097825e+00	1.218850e+00	1.270162e+00	1.313461e+00	1.354011e+00	1.398454e+00	1.440987e+00	1.494131e+00	1.561645e+00	1.739234e+00	1.758941e+00	-4.396508e-01	
1  7.31051	4.791612e-02	6.960863e-01	9.637013e-01	8.092894e-01	3.567044e+00	9.900031e-02	3.142429e-01	1.097653e+00	1.218790e+00	1.269722e+00	1.313922e+00	1.354787e+00	1.397262e+00	1.440969e+00	1.493619e+00	1.561748e+00	1.739798e+00	1.733153e+00	-4.156817e-01	
1  8.12731	4.791612e-02	6.960863e-01	9.637013e-01	8.092894e-01	3.567044e+00	9.900031e-02	3.142429e-01	1.097888e+00	1.218676e+00	1.269719e+00	1.313988e+00	1.354330e+00	1.399130e+00	1.440527e+00	1.494467e+00	1.560671e+00	1.740966e+00	1.718497e+00	-4.019267e-01	
1  9.0317	4.791612e-02	6.960863e-01	9.637013e-01	8.092894e-01	3.567044e+00	9.900031e-02	3.142429e-01	1.098133e+00	1.218560e+00	1.270871e+00	1.313618e+00	1.354401e+00	1.398786e+00	1.439277e+00	1.493739e+00	1.560682e+00	1.741104e+00	1.579267e+00	-3.188168e-01	
7  7.24422	4.791612e-02	6.960863e-01	9.637013e-01	8.092894e-01	3.567044e+00	9.900031e-02	3.142429e-01	1.098132e+00	1.218319e+00	1.270424e+00	1.314150e+00	1.355582e+00	1.397130e+00	1.441174e+00	1.493812e+00	1.561031e+00	1.741903e+00	1.663099e+00	-3.605700e-01	
1  6.76348	4.463737e-02	6.784175e-01	9.683139e-01	8.094609e-01	3.655272e+00	8.790075e-02	3.139593e-01	1.097818e+00	1.218482e+00	1.270745e+00	1.314853e+00	1.355459e+00	1.398907e+00	1.441772e+00	1.495820e+00	1.562928e+00	1.743588e+00	1.742107e+00	-4.088930e-01	
1  6.76921	4.458635e-02	6.768267e-01	9.689473e-01	8.099600e-01	3.715082e+00	7.300779e-02	3.136879e-01	1.097595e+00	1.218611e+00	1.270818e+00	1.315204e+00	1.355369e+00	1.399859e+00	1.441869e+00	1.496852e+00	1.563970e+00	1.744307e+00	1.779094e+00	-4.318259e-01	
4  4.62424	4.714423e-02	6.791331e-01	9.667206e-01	8.106235e-01	3.479655e+00	6.771567e-02	3.137816e-01	1.097673e+00	1.218326e+00	1.270251e+00	1.314493e+00	1.355814e+00	1.398751e+00	1.441240e+00	1.495789e+00	1.563246e+00	1.743407e+00	1.764399e+00	-4.219924e-01	
3  4.0633	4.708756e-02	6.692840e-01	9.690569e-01	8.102248e-01	3.217343e+00	7.800466e-02	3.136595e-01	1.097596e+00	1.218339e+00	1.270260e+00	1.314365e+00	1.356337e+00	1.398933e+00	1.441124e+00	1.496046e+00	1.563529e+00	1.743489e+00	1.731315e+00	-4.008221e-01	
1  4.36385	4.708756e-02	6.692840e-01	9.690569e-01	8.102248e-01	3.217343e+00	7.800466e-02	3.136595e-01	1.097554e+00	1.219335e+00	1.270760e+00	1.314818e+00	1.356339e+00	1.399189e+00	1.441544e+00	1.496478e+00	1.563567e+00	1.741921e+00	1.712547e+00	-3.838922e-01	
2  5.52874	4.708756e-02	6.692840e-01	9.690569e-01	8.102248e-01	3.217343e+00	7.800466e-02	3.136595e-01	1.098383e+00	1.219893e+00	1.271560e+00	1.314128e+00	1.356198e+00	1.398309e+00	1.442579e+00	1.495513e+00	1.563893e+00	1.742359e+00	1.740989e+00	-4.096933e-01	
3  6.80307	4.708756e-02	6.692840e-01	9.690569e-01	8.102248e-01	3.217343e+00	7.800466e-02	3.136595e-01	1.098300e+00	1.219480e+00	1.271308e+00	1.316217e+00	1.354540e+00	1.399742e+00	1.443097e+00	1.495672e+00	1.563017e+00	1.743598e+00	1.679129e+00	-3.653853e-01	
