,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6059301.267100149,-1618084.9503991231,366265.7406807989,443686.50879170443,2349355.5234434847,33921.48728717441,-13048.945020029769,-731392.913081682,-87218.03747258369,-94303.6605252908,-26378.86694623451,-21519.302094355953,-7025.760319511999,-2958.6455141676443,1.9490494800402303,-1322.289552397372,-12122.90007867486,9033.451076045905,4686.902052500012,15674.543391999532
Omegab,-1618084.9503991231,2580762.2041440504,-483774.8111915998,-417067.81134644104,-899688.1824680419,17308.553575909762,21641.60865654331,-83156.22071810598,-82302.79415401259,-59022.345679218764,-37618.620301857365,-23359.365960457602,-11999.84768309056,-32.51042374847748,22025.652450431582,28947.953697055542,67590.77108164945,678.5952122046799,-544.7930324509425,839.3316796765714
h,366265.7406807989,-483774.8111915998,104105.18865522451,114236.19659365415,67858.16816239854,-7710.417004254418,-4298.630662381861,10172.62144884839,8148.655259630466,3978.76427888146,497.83901239829765,-1982.2298381455184,-4119.640598468451,-7419.0055005586555,-11508.769743553778,-15231.766086250851,-21184.46085441705,-197.93719279509878,155.83689206255718,-245.56614775134787
ns,443686.50879170443,-417067.81134644104,114236.19659365415,212213.3909027191,-479833.05183507665,-25989.4363446762,-3939.892247540625,-12410.272612396617,-30667.80844427183,-35125.02614878599,-35197.0419084763,-35082.00349664501,-36379.263143926255,-39421.47250489289,-44414.93708036988,-49214.33036529022,-47401.96452039015,-373.58770057653805,338.74064316262826,-445.08558604613216
sigma8,2349355.5234434847,-899688.1824680419,67858.16816239854,-479833.05183507665,7553625.061749836,228547.15773555523,-4536.179688782222,572457.9486189262,466660.9964041547,353379.40922187467,285295.95202149416,252416.88586503547,237295.99913092557,234811.26521266607,245176.72736199954,255642.2822884051,223852.20726905175,-897.2333752478505,2188.144615832329,-550.4140886672137
mnu,33921.48728717441,17308.553575909762,-7710.417004254418,-25989.4363446762,228547.15773555523,8183.590051832836,247.24595011929824,17047.345298643937,14504.672431798677,10907.622473544548,8825.073736711085,7893.600655996171,7578.363706322687,7708.671156121067,8371.541613538106,9218.222300345524,8932.976044471154,-4.65382645646672,49.576573083849695,11.580156045313055
Neff,-13048.945020029769,21641.60865654331,-4298.630662381861,-3939.892247540625,-4536.179688782222,247.24595011929824,195.49187942639205,-465.8656086084921,-522.2317464446386,-374.0930208119595,-216.04716157060943,-97.58763384627947,-15.248095481333522,121.57974136517355,299.1769124131756,393.76395523064485,736.2392786553793,5.954752372170421,-3.784516226365403,7.742218352882309
b1,-731392.913081682,-83156.22071810598,10172.62144884839,-12410.272612396617,572457.9486189262,17047.345298643937,-465.8656086084921,606199.9424572268,-21694.671931773828,12613.452060129708,-140.32013676450956,98.42606352959892,11.334652654419417,5.211814168240699,2.951514232369579,0.4404478553817035,1.0446401470284918,30.057435169725128,-72.71273192864551,21.583438207774627
b2,-87218.03747258369,-82302.79415401259,8148.655259630466,-30667.80844427183,466660.9964041547,14504.672431798677,-522.2317464446386,-21694.671931773828,425911.01565120416,-143463.361049463,34225.783146665155,-2217.1633431019395,143.774135395115,5.040247262505079,0.20812943716796983,0.20369682474808987,0.18267627377688586,-121.75225597657013,277.07878266894073,-90.42158124352999
b3,-94303.6605252908,-59022.345679218764,3978.76427888146,-35125.02614878599,353379.40922187467,10907.622473544548,-374.0930208119595,12613.452060129708,-143463.361049463,592081.797120052,-275849.10387167986,66102.35882672806,-4245.478257227981,198.6807749968976,7.209899961123798,0.19033440229735143,0.1824315117616105,92.01250663215096,-113.64723546482158,90.23251022643412
b4,-26378.86694623451,-37618.620301857365,497.83901239829765,-35197.0419084763,285295.95202149416,8825.073736711085,-216.04716157060943,-140.32013676450956,34225.783146665155,-275849.10387167986,696320.6503158432,-346749.44387420994,73556.59812871316,-4314.614770260814,124.96734837048035,2.131215146563502,0.3794629089630647,-226.46612522233409,310.8970561763687,-210.78074491104397
b5,-21519.302094355953,-23359.365960457602,-1982.2298381455184,-35082.00349664501,252416.88586503547,7893.600655996171,-97.58763384627947,98.42606352959892,-2217.1633431019395,66102.35882672806,-346749.44387420994,714567.3388126945,-333145.4788957573,61271.4734521812,-2747.362938250328,47.26751488723961,0.696450299319185,4.727428038283687,7.561112570240732,16.536577316722628
