,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3352785.7493754905,-2489329.6865609465,-5737835.303194758,583355.2931562428,440825.8343513089,-75570.24305739757,-21086.636042031387,898584.617969136,898402.7797873181,757162.8536824349,676157.6422862823,131.07112367907672,122.96704633827832,97.98843355668119,83.53654132683641
Omegab,-2489329.6865609465,5537309.66639385,1647231.8691970538,-1138984.1120459358,-107088.16440469051,118375.7824743054,46792.34486968725,-321550.5054041054,-254275.44414038787,-133014.43257738824,35145.21658951865,-100.98772676745202,-89.06973847306455,-65.70016204272528,-49.02824448392835
h,-5737835.303194758,1647231.8691970538,17868330.713714264,-423430.3715745212,-2052367.2342826156,98590.01743663306,13632.12559210827,-2387117.466663478,-2292436.79795353,-1896932.276441065,-1737636.5991025309,-318.2376336451366,-283.72039650793107,-215.631119133619,-175.84890619914685
ns,583355.2931562428,-1138984.1120459358,-423430.3715745212,331719.7986029423,1261.6077206438622,-32160.59952632386,-10176.518146054863,59856.5764953139,40147.84605242076,9135.950877767158,-38566.2095838376,28.02555096810127,24.549222697431134,17.864588873022804,12.897632082337765
sigma8,440825.8343513089,-107088.16440469051,-2052367.2342826156,1261.6077206438622,311083.25429355196,-7988.0867929924625,-922.6304447367756,242130.5798028114,229624.48713091546,189573.32528207585,177507.65267379716,30.365215614131372,26.551396423204523,19.919021492671977,16.276084611489026
mnu,-75570.24305739757,118375.7824743054,98590.01743663306,-32160.59952632386,-7988.0867929924625,3706.764137049946,1021.9044755713323,-13904.88752473927,-11173.177172775984,-6694.936743552973,-1557.0389664916784,-3.346325477409884,-2.8473573389182656,-2.0401961137322537,-1.4869828439962458
Neff,-21086.636042031387,46792.34486968725,13632.12559210827,-10176.518146054863,-922.6304447367756,1021.9044755713323,428.792942424619,-2806.1763597389795,-2191.4725375027165,-1113.0050868084854,382.11436408721056,-0.8979049906735295,-0.7884939899925223,-0.5790689184622999,-0.4293688265933272
lnbgs8_1,898584.617969136,-321550.5054041054,-2387117.466663478,59856.5764953139,242130.5798028114,-13904.88752473927,-2806.1763597389795,1264619.3854387063,0.0,0.0,0.0,145.51863110018837,0.0,0.0,0.0
lnbgs8_2,898402.7797873181,-254275.44414038787,-2292436.79795353,40147.84605242076,229624.48713091546,-11173.177172775984,-2191.4725375027165,0.0,1248222.5612009603,0.0,0.0,0.0,134.5847381320017,0.0,0.0
lnbgs8_3,757162.8536824349,-133014.43257738824,-1896932.276441065,9135.950877767158,189573.32528207585,-6694.936743552973,-1113.0050868084854,0.0,0.0,1064077.2761314379,0.0,0.0,0.0,106.34982136105516,0.0
lnbgs8_4,676157.6422862823,35145.21658951865,-1737636.5991025309,-38566.2095838376,177507.65267379716,-1557.0389664916784,382.11436408721056,0.0,0.0,0.0,1012884.3458823712,0.0,0.0,0.0,91.03164636027108
Ps_1,131.07112367907672,-100.98772676745202,-318.2376336451366,28.02555096810127,30.365215614131372,-3.346325477409884,-0.8979049906735295,145.51863110018837,0.0,0.0,0.0,0.024939589756421417,0.0,0.0,0.0
Ps_2,122.96704633827832,-89.06973847306455,-283.72039650793107,24.549222697431134,26.551396423204523,-2.8473573389182656,-0.7884939899925223,0.0,134.5847381320017,0.0,0.0,0.0,0.021745900875954412,0.0,0.0
Ps_3,97.98843355668119,-65.70016204272528,-215.631119133619,17.864588873022804,19.919021492671977,-2.0401961137322537,-0.5790689184622999,0.0,0.0,106.34982136105516,0.0,0.0,0.0,0.016172527703486497,0.0
Ps_4,83.53654132683641,-49.02824448392835,-175.84890619914685,12.897632082337765,16.276084611489026,-1.4869828439962458,-0.4293688265933272,0.0,0.0,0.0,91.03164636027108,0.0,0.0,0.0,0.012940532714163861
