,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20281166.231463,-12948797.478135107,3264912.0154982526,4287277.540227595,23930459.08949598,2083095.080806316,510435.8989299673,-889628.8433782271,372208.34308190475,584304.647394391,689184.3441963797,726390.7393897325,775130.7438973498,694624.6339712398,783989.0855082297,707715.18733278,444807.97003414616,17720.876166559716,10023.719041880307,31061.936566872893
Omegab,-12948797.478135107,20419874.36386466,-4949561.22604056,-6016812.7624536725,-36384561.08036688,-6353785.936301515,-1319559.9987223875,-2547434.5560944113,-2065355.4213876745,-1636522.8583747994,-1535242.0102108878,-1395753.6457593553,-1358723.7098733576,-1140803.6616907534,-1220622.805400699,-1043638.7313606683,-605574.1872624656,279.19357554019916,-1906.0161711609353,-294.691308969429
h,3264912.0154982526,-4949561.22604056,1239005.014921777,1624440.1661189892,8899202.204964112,1518020.7080666048,310605.33640603744,747837.6405718948,533650.4468234781,397432.7279291016,358812.06673696375,318350.5341264331,305261.19515053456,254168.6183272249,270645.141727471,230354.99450555578,131877.9013403342,-207.53918878156102,582.7595646786551,-97.63816231133828
ns,4287277.540227595,-6016812.7624536725,1624440.1661189892,2682260.023219886,10652440.129302215,1637984.6689851624,304397.7620826401,1527834.8278668737,862047.4190707799,529195.5336525661,397188.08102133375,292644.22207659855,232270.41049507255,160226.0814006043,138547.29132792467,88320.62129366622,25823.49226319735,-874.5179746970156,1192.895338238252,-891.0210290984577
sigma8,23930459.08949598,-36384561.08036688,8899202.204964112,10652440.129302215,80898612.67361544,14152895.397933528,2895476.9984183917,6113138.994123611,5175998.354621012,4051270.264071527,3692282.326519103,3228828.882426746,3007699.7968997443,2416165.7614127975,2479319.7188184317,2056373.7691110366,1245975.9312244817,412.6863218620582,3359.2545873783693,1919.7341954052126
w0,2083095.080806316,-6353785.936301515,1518020.7080666048,1637984.6689851624,14152895.397933528,2959702.8646777044,610777.6215186127,1188869.6721219104,995151.8490551598,791280.6291091986,733012.9626407484,649110.3909278376,612787.8533749605,498184.48387073376,517219.83850895404,434645.9622433398,268037.5458922727,1383.5170834520043,-497.2912841869806,1947.8026553854963
wa,510435.8989299673,-1319559.9987223875,310605.33640603744,304397.7620826401,2895476.9984183917,610777.6215186127,130320.17971039574,164506.96946540504,169308.74757108613,149043.4017982933,147780.88636277837,138309.54090203386,136947.77518468694,116077.10016563059,125464.3454874259,110207.48100745348,71579.75810306,506.7382148571493,-55.97628122373339,760.2729584516464
b1,-889628.8433782271,-2547434.5560944113,747837.6405718948,1527834.8278668737,6113138.994123611,1188869.6721219104,164506.96946540504,3680710.755850725,368675.7182371122,7457.935556141282,3084.5938119246343,549.2373620088069,154.28177494132103,68.74606875579462,32.06480341469917,2.9670180944018867,5.158044732401691,88.96083376472453,-253.19614963007746,50.60310422785995
b2,372208.34308190475,-2065355.4213876745,533650.4468234781,862047.4190707799,5175998.354621012,995151.8490551598,169308.74757108613,368675.7182371122,1920408.9156367297,356453.13016595953,9274.107614703084,2415.3865142384598,390.7744678298553,29.64901287656116,12.768274072892664,1.7529712067999863,1.8285159864166642,-31.677003630403494,32.73582883059495,-31.848334477806425
b3,584304.647394391,-1636522.8583747994,397432.7279291016,529195.5336525661,4051270.264071527,791280.6291091986,149043.4017982933,7457.935556141282,356453.13016595953,1166760.1714373832,342267.9472246116,8771.49263756843,2044.5055987737805,296.3557416318066,29.566968464116652,6.2599909678791095,0.8423119599430761,16.82897903845366,3.063777143047286,16.79370132593639
b4,689184.3441963797,-1535242.0102108878,358812.06673696375,397188.08102133375,3692282.326519103,733012.9626407484,147780.88636277837,3084.5938119246343,9274.107614703084,342267.9472246116,954064.6857215639,302995.32379800023,10594.103109996013,1812.478958056731,248.7940939228885,17.961261402128358,5.07081632499629,5.052917151688646,-12.047626701309618,3.9919191024065253
b5,726390.7393897325,-1395753.6457593553,318350.5341264331,292644.22207659855,3228828.882426746,649110.3909278376,138309.54090203386,549.2373620088069,2415.3865142384598,8771.49263756843,302995.32379800023,768884.5515873597,269055.3183679371,8370.312730459298,1685.9701817409311,135.19493699429265,11.055100028401263,-9.547284169296685,10.949000320906448,-4.681645301331576
b6,775130.7438973498,-1358723.7098733576,305261.19515053456,232270.41049507255,3007699.7968997443,612787.8533749605,136947.77518468694,154.28177494132103,390.7744678298553,2044.5055987737805,10594.103109996013,269055.3183679371,707167.359825135,232362.7503029828,11666.889564274243,1043.4174503642969,75.3836420837841,35.42934793055933,-51.76635710067698,37.14786610067085
b7,694624.6339712398,-1140803.6616907534,254168.6183272249,160226.0814006043,2416165.7614127975,498184.48387073376,116077.10016563059,68.74606875579462,29.64901287656116,296.3557416318066,1812.478958056731,8370.312730459298,232362.7503029828,525907.6750825953,197957.5313362064,4904.14963429724,385.15528778087497,38.74661513572649,-51.22322154204828,45.88467288840843
b8,783989.0855082297,-1220622.805400699,270645.141727471,138547.29132792467,2479319.7188184317,517219.83850895404,125464.3454874259,32.06480341469917,12.768274072892664,29.566968464116652,248.7940939228885,1685.9701817409311,11666.889564274243,197957.5313362064,619279.5984369675,151290.7466019229,2769.7704516155864,55.43018744048673,-12.174871383979006,83.18766451804724
b9,707715.18733278,-1043638.7313606683,230354.99450555578,88320.62129366622,2056373.7691110366,434645.9622433398,110207.48100745348,2.9670180944018867,1.7529712067999863,6.2599909678791095,17.961261402128358,135.19493699429265,1043.4174503642969,4904.14963429724,151290.7466019229,578423.177749519,75902.16931967928,-48.64768987947934,-26.63244491843474,-95.80312356713462
b10,444807.97003414616,-605574.1872624656,131877.9013403342,25823.49226319735,1245975.9312244817,268037.5458922727,71579.75810306,5.158044732401691,1.8285159864166642,0.8423119599430761,5.07081632499629,11.055100028401263,75.3836420837841,385.15528778087497,2769.7704516155864,75902.16931967928,404638.65702438203,-267.2061095672332,-155.1496024713962,-467.49358865241754
AIA,17720.876166559716,279.19357554019916,-207.53918878156102,-874.5179746970156,412.6863218620582,1383.5170834520043,506.7382148571493,88.96083376472453,-31.677003630403494,16.82897903845366,5.052917151688646,-9.547284169296685,35.42934793055933,38.74661513572649,55.43018744048673,-48.64768987947934,-267.2061095672332,3620.42048683298,592.9512599529146,5795.635820811547
betaIA,10023.719041880307,-1906.0161711609353,582.7595646786551,1192.895338238252,3359.2545873783693,-497.2912841869806,-55.97628122373339,-253.19614963007746,32.73582883059495,3.063777143047286,-12.047626701309618,10.949000320906448,-51.76635710067698,-51.22322154204828,-12.174871383979006,-26.63244491843474,-155.1496024713962,592.9512599529146,1500.3811929165026,1470.2320476888854
etaIA,31061.936566872893,-294.691308969429,-97.63816231133828,-891.0210290984577,1919.7341954052126,1947.8026553854963,760.2729584516464,50.60310422785995,-31.848334477806425,16.79370132593639,3.9919191024065253,-4.681645301331576,37.14786610067085,45.88467288840843,83.18766451804724,-95.80312356713462,-467.49358865241754,5795.635820811547,1470.2320476888854,9473.925195432328
