,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20434101.49252788,-12294158.705607174,3199191.484756778,4300405.963727679,24086810.33395344,513802.68999569083,-99355.59300927055,-1093831.413852038,652497.9518255444,587445.8431781309,682501.3508622098,695139.9519395074,718392.6100595145,732346.2223756437,744129.990585322,723837.3170109658,459890.25476045423,16577.389296249952,9579.344841063157,29135.408228398224
Omegab,-12294158.705607174,18376236.18774086,-4591641.551690457,-5737043.203867733,-34195127.91841191,-726399.1674943663,149196.87852179992,-2428410.814726885,-2012762.3847174782,-1548288.6745667115,-1345843.2788986429,-1241170.6036974366,-1172814.0799688678,-1125620.9857417499,-1082683.6329199264,-999698.8933762832,-585728.6369332965,383.0655385481576,-1697.2908629353797,-55.03557022408094
h,3199191.484756778,-4591641.551690457,1186172.8944645494,1593236.2799103379,8727088.068519674,180780.61854113892,-37410.275663630215,754752.0502170821,543020.8479797473,390155.19652110134,327593.08209732303,294721.1588794335,274262.4643211577,260728.0414479669,249082.77561306683,229233.87088273786,132919.9400130244,-213.88871170852207,527.8941418538756,-128.37206127771455
ns,4300405.963727679,-5737043.203867733,1593236.2799103379,2679942.8356722905,10734172.112196857,189617.4526075579,-46618.00664598593,1607365.6394072124,891882.6672261523,512592.46261547954,359844.7800787975,272162.6350221829,211854.79746940956,166965.99720206397,128529.84028867984,90898.60787835112,28725.15619310717,-843.5217397395171,1127.0152100699775,-868.5351328381486
sigma8,24086810.33395344,-34195127.91841191,8727088.068519674,10734172.112196857,81701543.25890715,1888861.518559916,-270729.02816501766,6148158.146593236,5503742.27233832,4191806.1928462693,3507729.4409424164,3097151.3628755216,2796777.5260757497,2566142.8677654006,2365946.6958328476,2098679.3508495586,1279176.1358542244,232.96320414051306,3151.31324894356,1562.667644684007
mnu,513802.68999569083,-726399.1674943663,180780.61854113892,189617.4526075579,1888861.518559916,47417.539486448266,-5672.404347310178,105172.22155389392,107336.32118489427,92512.63697573297,82614.44675961531,76948.33660375554,72611.47559843441,69072.01249625393,66264.29036097504,61350.27529176299,40266.79433752995,42.684435336043705,62.717518581349054,89.68258250407175
Neff,-99355.59300927055,149196.87852179992,-37410.275663630215,-46618.00664598593,-270729.02816501766,-5672.404347310178,1232.4809749656938,-18925.945934603562,-15774.55825123413,-12112.78669530798,-10599.404157156434,-9831.837559154017,-9324.06143455446,-8975.029756813165,-8646.67760646019,-7989.862270111056,-4603.148986226038,4.127474892528262,-13.1418279027393,1.3643088933463878
b1,-1093831.413852038,-2428410.814726885,754752.0502170821,1607365.6394072124,6148158.146593236,105172.22155389392,-18925.945934603562,4448557.904454412,-278429.126029955,58547.35668604431,280.39608920072567,263.830605748407,189.84845509830865,69.76112612298272,26.878212949756136,3.55864009614427,4.582933885460194,244.66120316443454,-633.3005528989263,160.79124364425454
b2,652497.9518255444,-2012762.3847174782,543020.8479797473,891882.6672261523,5503742.27233832,107336.32118489427,-15774.55825123413,-278429.126029955,3650950.741250567,-853466.4837496539,120939.3936611105,-366.2318272143784,86.98133380397377,39.70698643811979,10.670108310775095,0.7120213036536671,0.8364807825126883,-98.02806257310884,289.98313868223704,-60.499036117043985
b3,587445.8431781309,-1548288.6745667115,390155.19652110134,512592.46261547954,4191806.1928462693,92512.63697573297,-12112.78669530798,58547.35668604431,-853466.4837496539,3669183.972521336,-1092499.863542037,141574.73283137562,2712.986703916914,82.88341348422003,24.580513997479464,2.708320097731215,1.0479258223745676,335.0912806471446,-443.8389890901047,321.29066810228346
